rank,id,symbol,name,market_cap,price,volume_24h,price_change_24h_pct,price_change_7d_pct,price_change_30d_pct
1,bitcoin,BTC,Bitcoin,2179178925363,109350.0,41095002009.0,0.47975,-5.505102159656411,-3.102528222021288
2,ethereum,ETH,Ethereum,483801065191,4009.17,32152343691.0,3.04471,-10.27061710854585,-12.564336437665435
3,tether,USDT,Tether,174273936682,1.0,91271464763.0,-0.00996,0.01215042405255583,0.03789937400297263
4,ripple,XRP,XRP,166639146818,2.79,5455775706.0,3.00271,-6.622290030122817,-7.1387633288941
5,binancecoin,BNB,BNB,135162144056,971.41,1992823968.0,3.95515,-2.5008016761326997,12.194655859740287
6,solana,SOL,Solana,109565648485,201.6,8346858635.0,5.36097,-15.05546715348568,-4.813049416773342
7,usd-coin,USDC,USDC,73726847911,0.999618,9424465302.0,0.00056,-0.0043338494522918046,-0.019415377509961893
8,staked-ether,STETH,Lido Staked Ether,34809291504,4005.63,56183467.0,3.22948,-10.254095532048975,-12.910619011792157
9,dogecoin,DOGE,Dogecoin,34751181484,0.230116,2279177109.0,3.55199,-12.860128525302212,3.1949219346238165
10,tron,TRX,TRON,31885313999,0.336855,612781786.0,1.00352,-3.02481783436523,-3.60010889888663
11,cardano,ADA,Cardano,28664972588,0.784738,1218682929.0,3.3178,-11.732285650117614,-9.39671860534068
12,wrapped-steth,WSTETH,Wrapped stETH,15781489707,4865.74,17959903.0,3.3137,-10.206558910521572,-12.638272641133556
13,ethena-usde,USDE,Ethena USDe,14310999162,1.0,949654357.0,0.08751,-0.03464751258289135,-0.0026607621710661574
14,chainlink,LINK,Chainlink,14263361961,21.04,640091810.0,5.23784,-9.217819621154257,-11.643223773942681
15,wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,14107346073,4322.07,8858903.0,3.32784,-10.32972614649778,-12.532595399326338
16,wrapped-bitcoin,WBTC,Wrapped Bitcoin,13887617120,109317.0,180306382.0,0.38704,-5.6117176345656254,-3.2972265074125846
17,figure-heloc,FIGR_HELOC,Figure Heloc,12997816843,1.025,45418644.0,1.82167,2.7671031152680983,-0.2759698517092734
18,avalanche-2,AVAX,Avalanche,11985097078,28.38,1329750049.0,2.87756,-15.755592626402759,15.746717327768769
19,hyperliquid,HYPE,Hyperliquid,11901508344,43.99,754921688.0,7.15023,-21.013914665739446,-8.555362186858616
20,stellar,XLM,Stellar,11526607428,0.361438,189622445.0,4.30199,-7.058473640840009,-5.202740190100057
21,sui,SUI,Sui,11468763238,3.21,964016577.0,3.80527,-11.852909739414955,-7.722702550550798
22,bitcoin-cash,BCH,Bitcoin Cash,10860908020,544.9,173730770.0,1.02377,-9.338992171075853,-2.0719470889458314
23,wrapped-eeth,WEETH,Wrapped eETH,10607062887,4314.63,5307989.0,3.29669,-10.172347730231174,-12.176980256677014
24,weth,WETH,WETH,9929131682,4007.45,138604461.0,3.27482,-10.331985406561778,-12.631563901758236
25,hedera-hashgraph,HBAR,Hedera,9031821075,0.21321,175857791.0,3.77602,-11.703429153826711,-10.677439762812908
26,leo-token,LEO,LEO Token,8756674579,9.49,421988.0,-0.09472,-0.17268521060225897,-0.4887608792668864
27,usds,USDS,USDS,8118223441,0.999599,9058330.0,0.01055,-0.03000836175684603,-0.03639375165868024
