Rank,Symbol,Name,Market Cap,Price,Volume
1,BTC,Bitcoin,2178827682995,109360,39845835829
2,ETH,Ethereum,484141769978,4012.35,31467451064
3,USDT,Tether,174274182278,1.0,90370278458
4,XRP,XRP,166527223628,2.78,5454901844
5,BNB,BNB,135279933993,971.98,2099604616
6,SOL,Solana,109687656493,201.84,8290051548
7,USDC,USDC,73727905733,0.999607,10737337256
8,STETH,Lido Staked Ether,34820520017,4010.21,58096705
9,DOGE,Dogecoin,34793274331,0.230402,2323697894
10,TRX,TRON,31895051470,0.336965,613133690
11,ADA,Cardano,28658630347,0.784637,1213159344
12,WSTETH,Wrapped stETH,15785281036,4871.23,18278540
13,USDE,Ethena USDe,14314004464,1.0,951672027
14,LINK,Chainlink,14267943718,21.04,637698529
15,WBETH,Wrapped Beacon ETH,14124218079,4327.01,8901173
16,WBTC,Wrapped Bitcoin,13887148432,109389,233220725
17,FIGR_HELOC,Figure Heloc,12997816843,1.025,45418644
18,AVAX,Avalanche,11987440270,28.39,1315520641
19,HYPE,Hyperliquid,11907545443,43.99,753661046
20,XLM,Stellar,11545076881,0.362098,183862423
21,SUI,Sui,11462400076,3.21,948371936
22,BCH,Bitcoin Cash,10862890970,545.08,172992604
23,WEETH,Wrapped eETH,10608182312,4319.6,5434620
24,WETH,WETH,9928009657,4012.26,142784873
25,HBAR,Hedera,9043918634,0.213325,171517888
26,LEO,LEO Token,8756834144,9.49,422070
27,USDS,USDS,8117795786,0.999562,9107879
28,LTC,Litecoin,7949512151,104.15,354123638
29,BSC-USD,Binance Bridged USDT (BNB Smart Chain),7487945059,1.0,2902634031
30,USDT0,USDT0,7129411342,1.001,640724496
31,SHIB,Shiba Inu,6956706326,1.18e-05,143384401
32,TON,Toncoin,6894237463,2.71,95555047
33,CBBTC,Coinbase Wrapped BTC,6795347236,109360,320349480
34,CRO,Cronos,6476461228,0.186016,46761885
35,SUSDE,Ethena Staked USDe,6019372323,1.2,335650155
36,DOT,Polkadot,5908558218,3.88,214645929
37,MNT,Mantle,5895209515,1.8,569862706
38,WBT,WhiteBIT Coin,5878845504,40.81,32625399
39,WLFI,World Liberty Financial,5570240259,0.204623,406475967
40,XMR,Monero,5393094272,292.36,74130055
41,DAI,Dai,4584780221,0.998816,170326698
42,UNI,Uniswap,4538620515,7.56,267294902
43,AAVE,Aave,4097464419,268.83,357445528
44,ENA,Ethena,3986612129,0.578697,265320163
45,OKB,OKB,3981003822,189.62,102731390
47,PEPE,Pepe,3915007352,9.31e-06,407389127
46,M,MemeCore,3911040505,2.32,21467567
48,BGB,Bitget Token,3633372350,5.19,335212888
49,NEAR,NEAR Protocol,3380666346,2.7,177587912
50,ASTER,Aster,3252937367,1.96,1535056650
51,JITOSOL,Jito Staked SOL,3054703287,248.61,36926495
52,APT,Aptos,2879577397,4.1,446123375
53,TAO,Bittensor,2878930861,299.96,76612532
54,ONDO,Ondo,2803293557,0.887407,114161196
55,ETC,Ethereum Classic,2799782442,18.22,51263949
56,XPL,Plasma,2773941832,1.51,3485533267
57,WLD,Worldcoin,2738450422,1.3,228718737
58,USD1,USD1,2690151416,0.999282,284235344
59,IP,Story,2601312471,8.32,209115557
60,BNSOL,Binance Staked SOL,2590789156,216.76,5144128
61,WETH,Binance-Peg WETH,2426004395,4009.74,62477465
62,SUSDS,sUSDS,2355733077,1.069,25171309
63,POL,POL (ex-MATIC),2340566838,0.222719,67661343
64,ARB,Arbitrum,2285419005,0.423047,174564655
65,ICP,Internet Computer,2256944809,4.19,49460260
66,PYUSD,PayPal USD,2255699932,0.999788,45829546
67,MYX,MYX Finance,2240283851,11.76,177161047
68,PI,Pi Network,2189201394,0.266696,40776191
69,JLP,Jupiter Perpetuals Liquidity Provider Token,2163546435,5.49,47872209
70,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,2143169819,1.0,0.0
71,KAS,Kaspa,2026887235,0.076889,36300808
72,USDF,Falcon USD,2003544087,0.998427,35986824
73,ATOM,Cosmos Hub,1923994785,4.09,75093278
74,KCS,KuCoin,1921937530,15.11,2819837
75,GT,Gate,1896360597,15.88,7434265
76,VET,VeChain,1888434064,0.02196218,34560949
77,FLR,Flare,1879602818,0.02533053,19307947
78,USDTB,USDtb,1823455950,0.999308,12492665
79,RSETH,Kelp DAO Restaked ETH,1822487076,4230.26,1836204
80,ALGO,Algorand,1818588233,0.206918,61656755
81,RETH,Rocket Pool ETH,1797651585,4585.96,3088022
82,PUMP,Pump.fun,1778773405,0.00502844,358244966
83,PENGU,Pudgy Penguins,1767804508,0.02813479,207734403
84,RENDER,Render,1763937297,3.4,50063064
85,KHYPE,Kinetiq Staked HYPE,1735110124,43.92,39561142
86,SEI,Sei,1704694089,0.278243,99117330
87,BFUSD,BFUSD,1698791663,0.999186,5753671
88,HASH,Provenance Blockchain,1609710356,0.03251991,31066
90,SKY,Sky,1534795875,0.065601,20960839
89,LBTC,Lombard Staked BTC,1534094960,109380,4781792
91,FIL,Filecoin,1516027254,2.19,99643191
92,OSETH,StakeWise Staked ETH,1515843849,4227.41,303970
93,TRUMP,Official Trump,1506470977,7.53,189289012
94,FET,Artificial Superintelligence Alliance,1497831800,0.574987,57632767
95,BONK,Bonk,1493970235,1.93e-05,167568728
96,IMX,Immutable,1463702385,0.755369,49856322
97,LSETH,Liquid Staked ETH,1442796594,4329.45,571454
98,XAUT,Tether Gold,1419074271,3778.38,194636228
99,QNT,Quant,1373422866,94.45,29210296
100,JUP,Jupiter,1369373691,0.440089,36732881
101,XDC,XDC Network,1296476558,0.073051,30824695
102,EZETH,Renzo Restaked ETH,1289849889,4249.05,3388216
103,WBNB,Wrapped BNB,1244607924,971.79,1000885276
104,NEXO,NEXO,1211807172,1.21,12564770
105,OP,Optimism,1200669069,0.675439,121693248
106,INJ,Injective,1150737794,11.77,78096943
107,SYRUPUSDC,syrupUSDC,1137233646,1.13,15958545
108,JUPSOL,Jupiter Staked SOL,1120851573,229.82,23462001
109,TIA,Celestia,1114166989,1.4,64284606
110,PAXG,PAX Gold,1106730466,3777.48,78757239
111,SOLVBTC,Solv Protocol BTC,1088213369,109229,707916
112,FDUSD,First Digital USD,1085642510,0.997807,6490256044
113,USDC,Binance Bridged USDC (BNB Smart Chain),1048429508,0.999633,429521999
114,STX,Stacks,1035183108,0.574738,16504415
115,METH,Mantle Staked Ether,1034103002,4314.26,1586275
116,LDO,Lido DAO,977089256,1.091,66654235
117,CAKE,PancakeSwap,947237265,2.62,68336611
118,SAROS,Saros,943566668,0.359446,6774032
119,CRV,Curve DAO,929610050,0.660969,111452823
120,SPX,SPX6900,926288890,0.994378,25989198
121,AERO,Aerodrome Finance,915385157,1.017,58365947
122,ZEC,Zcash,906643352,55.66,54423932
123,MSOL,Marinade Staked SOL,905241606,267.51,14625448
124,S,Sonic,897652511,0.237227,71001216
125,WBTC,Arbitrum Bridged WBTC (Arbitrum One),896534078,109382,103459456
126,FTN,Fasttoken,892783993,2.07,33625531
127,KAIA,Kaia,892012317,0.152307,18653030
128,GRT,The Graph,859081215,0.081778,24615161
130,PYTH,Pyth Network,852343094,0.148164,43299542
129,CLBTC,clBTC,851873562,110300,5.06
131,ETHFI,Ether.fi,804695183,1.56,154154753
132,FLOKI,FLOKI,793254114,8.211e-05,53829681
133,RLUSD,Ripple USD,789134919,0.999289,146839644
134,PENDLE,Pendle,787970131,4.64,73702240
135,CGETH.HASHKEY,cgETH Hashkey Cloud,771554457,3859.14,262.14
136,0G,0G,754795783,3.54,241686826
137,CFX,Conflux,745001367,0.144954,43512621
138,WIF,dogwifhat,742124434,0.742835,117532154
139,ATH,Aethir,738765918,0.060494,63275658
140,USDG,Global Dollar,726425056,0.999724,13691432
141,OUSG,OUSG,724141675,112.72,0.0
142,USTB,Superstate Short Duration U.S. Government Securities Fund (USTB),721222440,10.84,0.0
143,WETH,L2 Standard Bridged WETH (Base),715503150,4010.96,657169936
144,XTZ,Tezos,713811461,0.673498,15316348
145,THETA,Theta Network,703663610,0.703704,15611721
146,RAY,Raydium,700042152,2.61,38524944
147,TBTC,tBTC,692719866,109106,6918021
148,USDX,Stables Labs USDX,680929401,0.997516,152556
149,VIRTUAL,Virtuals Protocol,678203197,1.035,72582650
150,IOTA,IOTA,670311494,0.1656,7697114
151,GALA,GALA,668619239,0.01450272,47101606
152,USDY,Ondo US Dollar Yield,668563489,1.07,949918
153,BDX,Beldex,668457534,0.091002,5529635
154,ENS,Ethereum Name Service,664923274,20.05,42261151
155,AB,AB,659799330,0.00832034,34417378
156,SAND,The Sandbox,645739041,0.264205,32888257
157,A,Vaulta,645175416,0.405019,31458130
158,WETH,Arbitrum Bridged WETH (Arbitrum One),621404024,4012.43,417187907
159,GTETH,GTETH,616757704,4011.23,97671
160,ETHX,Stader ETHx,615160261,4292.3,247214
161,EETH,ether.fi Staked ETH,614810241,4007.03,25336
162,JTO,Jito,601974496,1.58,20942545
163,FARTCOIN,Fartcoin,593812861,0.593899,163757990
164,DOGE,Binance-Peg Dogecoin,590847078,0.230281,8655722
166,EIGEN,EigenCloud (prev. EigenLayer),588587749,1.74,135081123
165,JASMY,JasmyCoin,588366781,0.01215164,18352385
167,BTT,BitTorrent,576327123,5.84421e-07,12637215
168,FLOW,Flow,566441663,0.35152,6809811
169,CMETH,Mantle Restaked ETH,556767355,4311.33,4433528
170,USD0,Usual USD,555832848,0.998083,5449705
171,MORPHO,Morpho,554772152,1.67,23315815
172,WAL,Walrus,551323585,0.381446,21865662
173,MANA,Decentraland,548762338,0.285966,23917821
174,DEXE,DeXe,543221302,9.52,9665111
175,CBETH,Coinbase Wrapped Staked ETH,532900558,4416.89,4634655
176,TWT,Trust Wallet,531896635,1.28,93972375
177,SWETH,Swell Ethereum,529238128,4362.22,234785
178,WEETH,Arbitrum Bridged Wrapped eETH (Arbitrum),511888754,4307.92,4183319
179,BTC.B,Avalanche Bridged BTC (Avalanche),506529312,109364,148272061
180,W,Wormhole,503983450,0.107384,136515351
181,USDT,Mantle Bridged USDT (Mantle),502092414,0.996692,12379451
182,SAVAX,BENQI Liquid Staked AVAX,499956222,34.71,3283551
183,SUN,Sun Token,495609729,0.02576348,89920102
184,TUSD,TrueUSD,494273147,0.999408,15071029
185,STRK,Starknet,489787185,0.120106,22636497
186,USDD,USDD,487254678,1.0,3413043
187,LION,Loaded Lions,484180258,0.01582134,6961518
188,BORG,SwissBorg,477070273,0.481699,3555248
189,DYDX,dYdX,473231760,0.605595,11001665
190,BSV,Bitcoin SV,463308323,23.26,10787021
191,VKHYPE,Kinetiq Earn Vault,459871281,44.12,115250
192,FLUID,Fluid,458075493,5.97,48756932
193,SENA,Ethena Staked ENA,456088167,0.583561,498115
195,WAVAX,Wrapped AVAX,452217865,28.39,506176189
194,DAI,Polygon PoS Bridged DAI (Polygon POS),452185813,0.999693,35526397
